4 2.5000000000e+00 1.0000000000e+00 1 22 21 0 -1 20 1 -1
4 7.5000000000e+00 1.0000000000e+00 2 23 22 1 0 21 2 -1
4 1.2500000000e+01 1.0000000000e+00 3 24 23 2 1 22 3 -1
4 1.7500000000e+01 1.0000000000e+00 4 25 24 3 2 23 4 -1
4 2.2500000000e+01 1.0000000000e+00 5 26 25 4 3 24 5 -1
4 2.7500000000e+01 1.0000000000e+00 6 27 26 5 4 25 6 -1
4 3.2500000000e+01 1.0000000000e+00 7 28 27 6 5 26 7 -1
4 3.7500000000e+01 1.0000000000e+00 8 29 28 7 6 27 8 -1
4 4.2500000000e+01 1.0000000000e+00 9 30 29 8 7 28 9 -1
4 4.7500000000e+01 1.0000000000e+00 10 31 30 9 8 29 10 -1
4 5.2500000000e+01 1.0000000000e+00 11 32 31 10 9 30 11 -1
4 5.7500000000e+01 1.0000000000e+00 12 33 32 11 10 31 12 -1
4 6.2500000000e+01 1.0000000000e+00 13 34 33 12 11 32 13 -1
4 6.7500000000e+01 1.0000000000e+00 14 35 34 13 12 33 14 -1
4 7.2500000000e+01 1.0000000000e+00 15 36 35 14 13 34 15 -1
4 7.7500000000e+01 1.0000000000e+00 16 37 36 15 14 35 16 -1
4 8.2500000000e+01 1.0000000000e+00 17 38 37 16 15 36 17 -1
4 8.7500000000e+01 1.0000000000e+00 18 39 38 17 16 37 18 -1
4 9.2500000000e+01 1.0000000000e+00 19 40 39 18 17 38 19 -1
4 9.7500000000e+01 1.0000000000e+00 20 41 40 19 18 39 -1 -1
4 2.5000000000e+00 3.0000000000e+00 22 43 42 21 -1 40 21 0
4 7.5000000000e+00 3.0000000000e+00 23 44 43 22 20 41 22 1
4 1.2500000000e+01 3.0000000000e+00 24 45 44 23 21 42 23 2
4 1.7500000000e+01 3.0000000000e+00 25 46 45 24 22 43 24 3
4 2.2500000000e+01 3.0000000000e+00 26 47 46 25 23 44 25 4
4 2.7500000000e+01 3.0000000000e+00 27 48 47 26 24 45 26 5
