3 3.1536131000e+03 1.3535190500e+03 1845 2 3 -1 1846 2484
3 3.1391874000e+03 1.3170505400e+03 1846 1815 1814 10705 1845 104
4 3.2929161000e+03 8.1011225000e+02 665 1425 1424 664 11584 3 12048 46
4 3.2878398000e+03 8.1058038000e+02 664 1424 1423 663 11591 1333 12047 2
3 3.2886644000e+03 8.2052245000e+02 1848 1687 1686 11565 1853 3863
4 3.2667351000e+03 8.1867370000e+02 6792 1418 660 1420 14 11 11607 11610
3 3.2911713000e+03 8.2951122000e+02 1849 460 459 -1 3870 1855
4 3.2617997000e+03 8.1936881000e+02 658 659 1418 1852 14 16 1133 -1
3 3.2837627000e+03 8.2081355000e+02 2853 1688 1687 11524 3863 1852
4 3.2705947000e+03 8.1273695000e+02 660 7738 7740 661 -1 1336 11 176
3 3.2769672000e+03 8.2194623000e+02 1690 1689 1851 12 1859 11517
4 3.2715122000e+03 8.1409590000e+02 661 1421 1420 660 11605 5 9 886
3 3.2787590000e+03 8.2220972000e+02 1851 1689 1850 1856 2020 10
4 3.3434161000e+03 8.0745164000e+02 1435 675 676 1436 -1 135 11402 1114
3 3.2656989000e+03 8.1815956000e+02 659 660 1418 5 7 176
3 3.2813138000e+03 8.2978036000e+02 3305 2857 1854 3871 4767 4766
4 3.2617973000e+03 8.2458907000e+02 1417 1853 1852 1418 21 7 11610 19
3 3.2770394000e+03 8.3331347000e+02 1854 1855 1693 1866 1516 1519
3 3.2762336000e+03 8.3834691000e+02 1855 1856 1694 1868 1866 1521
3 3.2626948000e+03 8.3002037000e+02 1416 1853 1417 16 11475 1863
3 3.2756159000e+03 8.4312247000e+02 1856 1858 1695 1872 1868 1522
3 3.2591425000e+03 8.2509047000e+02 4087 1852 1853 16 4772 6331
3 3.2748166000e+03 8.4805175000e+02 1858 1860 1696 1876 1872 1523
3 3.2601360000e+03 8.4170217000e+02 1414 1859 1857 35 1871 25
3 3.2725164000e+03 8.5554970000e+02 1862 1698 1697 11636 1880 1884
3 3.2611970000e+03 8.4436579000e+02 1413 1859 1414 23 11616 1874
3 3.2599183000e+03 8.5479845000e+02 1861 1412 1411 11502 28 3874
3 3.2722234000e+03 8.6015351000e+02 1864 1699 1698 11570 1884 29
3 3.2581451000e+03 8.5728885000e+02 1863 1861 1411 26 30 3565
3 3.2743472000e+03 8.6267217000e+02 1864 452 1699 11473 27 1885
3 3.2597182000e+03 8.6014435000e+02 1411 1410 1863 1883 28 10885
3 3.6269078000e+03 4.5722866000e+02 2553 1553 1552 118 3262 1366
3 3.2284720000e+03 8.6813196000e+02 1865 644 645 -1 33 1474
3 3.2300844000e+03 8.6569847000e+02 1865 645 1866 34 6269 32
3 3.2288294000e+03 8.6313654000e+02 1866 645 646 -1 4649 33
3 3.2574006000e+03 8.4129696000e+02 3504 1857 1859 23 1898 6479
