3 3.1536130000e+03 1.3535288300e+03 1877 2 3 -1 1878 1134
3 3.1392371000e+03 1.3169695600e+03 1878 1847 1846 10911 1877 110
3 3.4332054000e+03 2.0065788900e+03 1880 1071 1070 12240 1884 3014
3 3.4129923000e+03 1.9938389100e+03 1002 1001 1882 1888 425 8935
3 3.3921511000e+03 2.0435044600e+03 1883 145 146 -1 895 3023
3 3.4027094000e+03 2.0115476000e+03 2449 1073 1072 12247 3022 8395
3 3.3269728000e+03 2.0622939000e+03 1884 154 155 -1 898 1895
3 3.3419331000e+03 2.1144310200e+03 158 159 1886 883 881 -1
3 3.3100435000e+03 1.9848052000e+03 3370 1888 2466 913 912 5040
3 3.3142484000e+03 1.9706749200e+03 1079 1888 1080 3943 930 913
3 3.3362198000e+03 1.9684481300e+03 1889 995 994 382 11 430
3 3.3340524000e+03 1.9610129600e+03 1890 1889 994 10 24 3848
4 3.3239059000e+03 1.9455988000e+03 1891 1890 993 992 24 12066 15 6573
3 3.3230243000e+03 2.0038755200e+03 2452 3364 3142 4408 3057 4852
3 3.2876213000e+03 1.9425380800e+03 1082 1892 1083 1910 11202 1900
4 3.3120071000e+03 1.9360529900e+03 992 991 74 1891 16 1904 12 12068
4 3.3006051000e+03 1.9281713500e+03 991 990 73 74 19 -1 15 9640
3 3.2939934000e+03 1.9638992700e+03 3918 2909 2910 1901 4865 4864
3 3.2774640000e+03 1.9333496100e+03 1084 1083 1893 1910 3949 3081
4 3.2926752000e+03 1.9189593500e+03 73 990 989 72 11631 21 -1 16
3 3.3052060000e+03 1.9994976400e+03 3370 3364 3458 5041 1913 912
3 3.2835523000e+03 1.9108476400e+03 988 72 989 19 12101 31
3 3.2748561000e+03 1.9016343500e+03 71 988 987 12094 35 31
3 3.2524424000e+03 1.9055124000e+03 1086 1894 1087 44 12126 1908
3 3.3279072000e+03 1.9594760600e+03 1890 994 993 11853 12 11
4 3.0050854000e+03 1.6420311600e+03 7882 7741 7827 7877 2381 4036 11238 6904
4 2.3644325000e+03 1.5766854200e+03 910 1259 1258 911 10471 1564 -1 1528
3 3.4267532000e+03 2.0231564700e+03 3307 2445 1880 3014 4738 878
4 3.0020475000e+03 1.6541880300e+03 7536 7859 7558 7342 1641 11788 9978 2865
3 3.3375523000e+03 2.1366180300e+03 1885 160 1895 30 5651 1892
